Layer Number,client_conv_time,client_2_server_tx_time,server_conv_time,server_2_client_tx_time,layer_type
1,0.009205341339111328,0.17825698852539062,0.03951907157897949,0.0032188892364501953,"Conv2d(3, 64, kernel_size=(11, 11), stride=(4, 4), padding=(2, 2))"
2,0.010516166687011719,0.10678243637084961,0.038625478744506836,0.0029821395874023438,ReLU(inplace=True)
3,0.004094839096069336,0.042354583740234375,0.0312650203704834,0.0015342235565185547,"MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)"
4,0.01163029670715332,0.13295245170593262,0.03319382667541504,0.0027010440826416016,"Conv2d(64, 192, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))"
5,0.01580190658569336,0.06174349784851074,0.03291201591491699,0.0024611949920654297,ReLU(inplace=True)
6,0.006348133087158203,0.022627830505371094,0.029956340789794922,0.0012712478637695312,"MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)"
7,0.009291410446166992,0.06693315505981445,0.03264284133911133,0.0020780563354492188,"Conv2d(192, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
8,0.010336875915527344,0.027933597564697266,0.028760671615600586,0.0016858577728271484,ReLU(inplace=True)
9,0.01393580436706543,0.04877209663391113,0.02389359474182129,0.0015704631805419922,"Conv2d(384, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
10,0.010259866714477539,0.018377304077148438,0.025377988815307617,0.0013124942779541016,ReLU(inplace=True)
11,0.012578010559082031,0.04648590087890625,0.022678852081298828,0.0019068717956542969,"Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
12,0.011758089065551758,0.01813960075378418,0.02294015884399414,0.0018203258514404297,ReLU(inplace=True)
13,0.011932373046875,0.0076258182525634766,0.020851612091064453,0.0012502670288085938,"MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)"
14,0.02536177635192871,0.006760358810424805,0.019571542739868164,0.0011539459228515625,"AdaptiveAvgPool2d(output_size=(6, 6))"
15,0.01010894775390625,0.007287502288818359,0.020418882369995117,0.0011892318725585938,"Dropout(p=0.5, inplace=False)"
16,0.024638652801513672,0.006264209747314453,0.006308794021606445,0.001117706298828125,"Linear(in_features=9216, out_features=4096, bias=True)"
17,0.024630069732666016,0.0063207149505615234,0.0064280033111572266,0.0013384819030761719,ReLU(inplace=True)
18,0.02480769157409668,0.0039441585540771484,0.006033182144165039,0.0013244152069091797,"Dropout(p=0.5, inplace=False)"
19,0.033516883850097656,0.009275674819946289,0.0022661685943603516,0.0012898445129394531,"Linear(in_features=4096, out_features=4096, bias=True)"
20,0.02783656120300293,0.0032014846801757812,0.0020804405212402344,0.001096487045288086,ReLU(inplace=True)
