Layer Number,client_conv_time,client_2_server_tx_time,server_conv_time,server_2_client_tx_time,layer_type
1,0.010137796401977539,0.1786952018737793,0.0381464958190918,0.002804994583129883,"Conv2d(3, 64, kernel_size=(11, 11), stride=(4, 4), padding=(2, 2))"
2,0.01081228256225586,0.10526800155639648,0.037277936935424805,0.0027921199798583984,ReLU(inplace=True)
3,0.004564523696899414,0.04229903221130371,0.032125234603881836,0.0016095638275146484,"MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)"
4,0.012298822402954102,0.14040255546569824,0.03521585464477539,0.0031723976135253906,"Conv2d(64, 192, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))"
5,0.00949716567993164,0.05772876739501953,0.03221917152404785,0.00284576416015625,ReLU(inplace=True)
6,0.006491661071777344,0.02232813835144043,0.030383586883544922,0.0016498565673828125,"MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)"
7,0.008026599884033203,0.06288409233093262,0.03021979331970215,0.001895904541015625,"Conv2d(192, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
8,0.008805274963378906,0.0292818546295166,0.028340578079223633,0.002022266387939453,ReLU(inplace=True)
9,0.009289026260375977,0.043312788009643555,0.02474045753479004,0.0016303062438964844,"Conv2d(384, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
10,0.011030197143554688,0.019470930099487305,0.025030851364135742,0.0016372203826904297,ReLU(inplace=True)
11,0.012952089309692383,0.04758882522583008,0.02215266227722168,0.0014526844024658203,"Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
12,0.010648250579833984,0.03187108039855957,0.023093700408935547,0.001560211181640625,ReLU(inplace=True)
13,0.010257720947265625,0.011886119842529297,0.020907878875732422,0.001466512680053711,"MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)"
14,0.029286861419677734,0.007988214492797852,0.019944190979003906,0.0012483596801757812,"AdaptiveAvgPool2d(output_size=(6, 6))"
15,0.009341955184936523,0.0075836181640625,0.02050328254699707,0.0010409355163574219,"Dropout(p=0.5, inplace=False)"
16,0.023455381393432617,0.006347179412841797,0.006170988082885742,0.0011222362518310547,"Linear(in_features=9216, out_features=4096, bias=True)"
17,0.02402496337890625,0.00503849983215332,0.00670170783996582,0.0012912750244140625,ReLU(inplace=True)
18,0.023204326629638672,0.0034923553466796875,0.006621599197387695,0.0011610984802246094,"Dropout(p=0.5, inplace=False)"
19,0.028308868408203125,0.005795478820800781,0.001966238021850586,0.0009889602661132812,"Linear(in_features=4096, out_features=4096, bias=True)"
20,0.03057551383972168,0.003419160842895508,0.001989126205444336,0.001028299331665039,ReLU(inplace=True)
