Layer Number,client_conv_time,client_2_server_tx_time,server_conv_time,server_2_client_tx_time,layer_type
1,0.12304997444152832,3.174255847930908,0.3294200897216797,0.02914142608642578,"Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
2,0.10607266426086426,2.3185768127441406,0.27603745460510254,0.030634641647338867,ReLU(inplace=True)
3,0.16191935539245605,3.375330686569214,0.2706482410430908,0.03028273582458496,"Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
4,0.1929636001586914,1.979187250137329,0.256331205368042,0.034353017807006836,ReLU(inplace=True)
5,0.08368635177612305,0.6140224933624268,0.16304254531860352,0.009467840194702148,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
6,0.1198740005493164,1.6902670860290527,0.17987585067749023,0.01996612548828125,"Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
7,0.11812329292297363,0.9724881649017334,0.17426037788391113,0.017044782638549805,ReLU(inplace=True)
8,0.13096117973327637,1.6766293048858643,0.16488218307495117,0.0156552791595459,"Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
9,0.11980223655700684,0.8045988082885742,0.15953803062438965,0.019994258880615234,ReLU(inplace=True)
10,0.08798503875732422,0.28984618186950684,0.11292552947998047,0.00477147102355957,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
11,0.1364421844482422,0.7993955612182617,0.11976313591003418,0.00963902473449707,"Conv2d(128, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
12,0.1348400115966797,0.42360949516296387,0.11890745162963867,0.010675907135009766,ReLU(inplace=True)
13,0.1500711441040039,0.8362996578216553,0.10703325271606445,0.01066136360168457,"Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
14,0.1213846206665039,0.33341193199157715,0.11325263977050781,0.010245084762573242,ReLU(inplace=True)
15,0.0950465202331543,0.11701607704162598,0.08097076416015625,0.003618478775024414,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
16,0.12970185279846191,0.40711545944213867,0.08079814910888672,0.005973339080810547,"Conv2d(256, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
17,0.12270450592041016,0.1866755485534668,0.08468055725097656,0.0059680938720703125,ReLU(inplace=True)
18,0.1975235939025879,0.4007139205932617,0.06983017921447754,0.005931854248046875,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
19,0.16878461837768555,0.20563411712646484,0.0840911865234375,0.00932765007019043,ReLU(inplace=True)
20,0.15277743339538574,0.07000255584716797,0.06056952476501465,0.0033249855041503906,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
21,0.13162612915039062,0.15700578689575195,0.05591177940368652,0.00341796875,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
22,0.1279752254486084,0.042532920837402344,0.053559303283691406,0.00295257568359375,ReLU(inplace=True)
23,0.12452840805053711,0.09907126426696777,0.04249215126037598,0.0024404525756835938,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
24,0.1236426830291748,0.035526275634765625,0.04656720161437988,0.0033156871795654297,ReLU(inplace=True)
25,0.16091275215148926,0.015928983688354492,0.04093766212463379,0.0012602806091308594,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
26,0.1144721508026123,0.015856504440307617,0.04199671745300293,0.0015215873718261719,"AdaptiveAvgPool2d(output_size=(7, 7))"
27,0.1741318702697754,0.0061798095703125,0.007939815521240234,0.001360177993774414,"Linear(in_features=25088, out_features=4096, bias=True)"
28,0.16239619255065918,0.0038115978240966797,0.007761716842651367,0.0012218952178955078,ReLU(inplace=True)
29,0.14740920066833496,0.0036177635192871094,0.006140708923339844,0.0011582374572753906,"Dropout(p=0.5, inplace=False)"
30,0.16277790069580078,0.005827903747558594,0.0019905567169189453,0.0011217594146728516,"Linear(in_features=4096, out_features=4096, bias=True)"
31,0.17195916175842285,0.0032796859741210938,0.0019636154174804688,0.0010879039764404297,ReLU(inplace=True)
32,0.1917567253112793,0.0034208297729492188,0.0019304752349853516,0.0010406970977783203,"Dropout(p=0.5, inplace=False)"
