Layer Number,client_conv_time,client_2_server_tx_time,server_conv_time,server_2_client_tx_time,layer_type
1,0.11559343338012695,3.8123092651367188,0.35727763175964355,0.0377504825592041,"Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
2,0.11783146858215332,3.8487892150878906,0.35909271240234375,0.03541088104248047,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
3,0.13268566131591797,1.4705348014831543,0.36167120933532715,0.034185171127319336,ReLU(inplace=True)
4,0.2083578109741211,3.6841092109680176,0.3506002426147461,0.03685307502746582,"Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
5,0.16510772705078125,3.858736038208008,0.4037594795227051,0.048813581466674805,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
6,0.19000482559204102,2.0542874336242676,0.34402990341186523,0.04252791404724121,ReLU(inplace=True)
7,0.08086895942687988,0.5653846263885498,0.23490023612976074,0.009582042694091797,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
8,0.12553668022155762,1.8740556240081787,0.2680220603942871,0.02023911476135254,"Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
9,0.13322186470031738,1.864431381225586,0.2688629627227783,0.021955490112304688,"BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
10,0.1365971565246582,0.8411886692047119,0.27211546897888184,0.020882368087768555,ReLU(inplace=True)
11,0.1869509220123291,1.8209161758422852,0.25424766540527344,0.018614530563354492,"Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
12,0.15676188468933105,1.8434112071990967,0.24324655532836914,0.019196748733520508,"BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
13,0.15622591972351074,1.1218316555023193,0.2374558448791504,0.017649173736572266,ReLU(inplace=True)
14,0.10840582847595215,0.36153531074523926,0.19031763076782227,0.0049130916595458984,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
15,0.11831140518188477,0.8992700576782227,0.19589495658874512,0.01185297966003418,"Conv2d(128, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
