Layer Number,client_conv_time,client_2_server_tx_time,server_conv_time,server_2_client_tx_time,layer_type
1,0.11218428611755371,3.92578387260437,0.4075946807861328,0.03278923034667969,"Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
2,0.1390373706817627,4.129218339920044,0.3876078128814697,0.03925585746765137,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
3,0.14035940170288086,1.5292623043060303,0.3837869167327881,0.045046329498291016,ReLU(inplace=True)
4,0.1998741626739502,3.7610249519348145,0.3500485420227051,0.045595407485961914,"Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
5,0.14168763160705566,3.7011616230010986,0.4020712375640869,0.04218149185180664,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
6,0.1737813949584961,2.147576332092285,0.38848376274108887,0.047902584075927734,ReLU(inplace=True)
7,0.09740591049194336,0.5953187942504883,0.24302315711975098,0.011318683624267578,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
8,0.1276717185974121,2.0842130184173584,0.29523587226867676,0.01678752899169922,"Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
9,0.14185833930969238,2.053408622741699,0.2722456455230713,0.01781630516052246,"BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
10,0.1409926414489746,0.8356626033782959,0.291262149810791,0.018051624298095703,ReLU(inplace=True)
11,0.16221880912780762,2.122746229171753,0.2617146968841553,0.022168397903442383,"Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
12,0.13814282417297363,1.8509972095489502,0.23902440071105957,0.01839447021484375,"BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
13,0.13562512397766113,1.1497468948364258,0.24914002418518066,0.0180056095123291,ReLU(inplace=True)
14,0.10352563858032227,0.36771059036254883,0.18325066566467285,0.005886077880859375,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
15,0.11637210845947266,0.9366097450256348,0.19439363479614258,0.010611534118652344,"Conv2d(128, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
16,0.12656140327453613,0.9718024730682373,0.18546295166015625,0.012298822402954102,"BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
17,0.13685011863708496,0.518991231918335,0.1953277587890625,0.013228654861450195,ReLU(inplace=True)
18,0.18132877349853516,0.9531614780426025,0.18472623825073242,0.011458158493041992,"Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
19,0.13546013832092285,0.9239099025726318,0.2129812240600586,0.011225223541259766,"BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
20,0.1326589584350586,0.5137102603912354,0.22254109382629395,0.01305389404296875,ReLU(inplace=True)
21,0.14513945579528809,0.9298429489135742,0.17820334434509277,0.010049104690551758,"Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
22,0.1713104248046875,0.9403114318847656,0.17101716995239258,0.008373498916625977,"BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
23,0.15339875221252441,0.48624420166015625,0.16398215293884277,0.010947227478027344,ReLU(inplace=True)
24,0.16034865379333496,0.9622695446014404,0.1768798828125,0.011272192001342773,"Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
25,0.19147920608520508,0.9217228889465332,0.1882789134979248,0.009415388107299805,"BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
26,0.14969778060913086,0.4452083110809326,0.16049861907958984,0.011096477508544922,ReLU(inplace=True)
27,0.1670823097229004,0.16870784759521484,0.12548470497131348,0.003985881805419922,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
28,0.1551504135131836,0.4818131923675537,0.1474301815032959,0.00524592399597168,"Conv2d(256, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
29,0.15528345108032227,0.4862856864929199,0.14494633674621582,0.007305145263671875,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
30,0.1692953109741211,0.2390918731689453,0.16553211212158203,0.005961894989013672,ReLU(inplace=True)
31,0.18106675148010254,0.49149346351623535,0.1141514778137207,0.005280256271362305,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
32,0.1872272491455078,0.48101186752319336,0.1381852626800537,0.00789785385131836,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
33,0.20809674263000488,0.23998332023620605,0.1315460205078125,0.007203817367553711,ReLU(inplace=True)
34,0.184600830078125,0.483936071395874,0.10419011116027832,0.007614612579345703,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
35,0.2419741153717041,0.4867832660675049,0.1045224666595459,0.00673365592956543,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
36,0.1896975040435791,0.2220897674560547,0.10095524787902832,0.006285429000854492,ReLU(inplace=True)
37,0.1931602954864502,0.4729290008544922,0.09199881553649902,0.007419109344482422,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
38,0.25061917304992676,0.46459150314331055,0.08524441719055176,0.00544285774230957,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
39,0.22006869316101074,0.2071821689605713,0.0890188217163086,0.0060579776763916016,ReLU(inplace=True)
40,0.209181547164917,0.08290529251098633,0.06891989707946777,0.0024416446685791016,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
41,0.18793892860412598,0.15101885795593262,0.07741522789001465,0.005650997161865234,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
42,0.18710613250732422,0.1368248462677002,0.06671476364135742,0.002712726593017578,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
43,0.23383665084838867,0.060916900634765625,0.07529878616333008,0.0024673938751220703,ReLU(inplace=True)
44,0.22916197776794434,0.13132882118225098,0.06072354316711426,0.0027246475219726562,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
45,0.20377755165100098,0.13138341903686523,0.06314611434936523,0.003152132034301758,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
46,0.18718194961547852,0.06378865242004395,0.059522151947021484,0.002228975296020508,ReLU(inplace=True)
47,0.21817612648010254,0.13605189323425293,0.05595755577087402,0.0026106834411621094,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
48,0.23160624504089355,0.12691330909729004,0.051174163818359375,0.0027616024017333984,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
49,0.19714999198913574,0.057297706604003906,0.050202131271362305,0.0021979808807373047,ReLU(inplace=True)
50,0.22629475593566895,0.12643122673034668,0.04506945610046387,0.002465963363647461,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
51,0.2800028324127197,0.1375117301940918,0.0520780086517334,0.002979755401611328,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
52,0.2348928451538086,0.06951308250427246,0.05335044860839844,0.003377676010131836,ReLU(inplace=True)
53,0.23377704620361328,0.030927419662475586,0.044034719467163086,0.0015537738800048828,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
54,0.21671366691589355,0.021243810653686523,0.04349112510681152,0.0015430450439453125,"AdaptiveAvgPool2d(output_size=(7, 7))"
55,0.26330137252807617,0.006846189498901367,0.00690150260925293,0.0013723373413085938,"Linear(in_features=25088, out_features=4096, bias=True)"
56,0.295604944229126,0.0049250125885009766,0.007995128631591797,0.0018630027770996094,ReLU(inplace=True)
57,0.30614399909973145,0.004852294921875,0.007934331893920898,0.0019364356994628906,"Dropout(p=0.5, inplace=False)"
58,0.26023149490356445,0.007620096206665039,0.0024526119232177734,0.0015070438385009766,"Linear(in_features=4096, out_features=4096, bias=True)"
59,0.2755577564239502,0.00422978401184082,0.002177715301513672,0.0012333393096923828,ReLU(inplace=True)
60,0.25005626678466797,0.004496097564697266,0.002182483673095703,0.0012547969818115234,"Dropout(p=0.5, inplace=False)"
